Isolate,prediction by LogR,prediction by gNB,prediction by SVM,prediction by DT,prediction by RF,prediction by KNN,prediction by LDA,prediction by mNB,prediction by ABC,prediction by GBC,prediction by ETC,prediction by BC
SAMN19845079,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845080,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845081,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845082,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845083,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845084,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845085,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845086,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845087,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845088,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845089,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845090,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845091,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845092,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845093,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845094,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845095,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845096,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845097,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845098,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845099,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845100,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845101,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845102,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845103,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845104,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845105,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845106,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845107,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845108,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845109,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845110,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845111,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845112,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845113,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845114,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845115,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845116,1,1,1,1,1,0,0,1,1,1,0,1
SAMN19845117,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845118,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845119,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845120,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845121,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845122,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845123,1,1,1,1,1,1,0,1,0,1,1,1
SAMN19845124,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845125,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845126,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845127,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845128,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845129,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845130,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845131,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845132,1,1,1,1,1,1,0,1,0,1,1,1
SAMN19845133,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845134,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845135,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845136,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845137,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845138,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845139,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845140,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845141,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845142,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845143,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845144,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845145,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845146,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845147,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845148,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845149,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845150,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845151,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845152,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845153,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845154,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845155,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845156,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845157,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845158,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845159,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845160,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845161,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845162,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845163,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845164,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845165,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845166,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845167,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845168,0,1,1,0,0,0,0,1,0,1,0,0
SAMN19845169,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845170,0,1,0,0,0,0,0,0,0,1,0,0
SAMN19845171,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845172,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845173,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845174,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845175,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845176,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845177,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845178,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845179,1,1,1,1,1,1,0,1,0,1,1,1
SAMN19845180,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845181,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845182,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845183,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845184,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845185,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845186,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845187,1,1,1,1,1,1,1,0,1,1,1,1
SAMN19845188,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845189,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845190,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845191,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845192,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845193,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845194,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845195,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845196,0,1,0,1,1,0,0,1,0,1,1,1
SAMN19845197,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845198,1,1,1,0,0,1,0,1,0,1,1,0
SAMN19845199,1,1,1,1,1,0,0,1,1,1,1,1
SAMN19845200,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845201,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845202,0,1,1,1,1,1,0,1,0,1,1,1
SAMN19845203,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845204,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845205,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845206,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845207,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845208,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845209,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845210,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845211,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845212,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845213,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845214,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845215,0,1,1,1,1,1,0,1,0,1,1,1
SAMN19845216,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845217,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845218,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845219,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845220,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845221,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845222,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845223,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845224,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845225,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845226,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845227,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845228,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845229,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845230,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845231,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845232,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845233,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845234,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845235,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845236,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845237,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845238,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845239,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845240,1,1,1,1,1,0,0,1,1,1,1,1
SAMN19845241,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845242,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845243,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845244,1,1,1,1,1,1,1,1,1,1,1,1
